reason,product_title,sku_first,option1_name,option2_name,status,variant_count,product_id
"option1=""Colors"" (plural)","Aim Shorts | Chocolate Brown",GSO005-S,Colors,Size,draft,4,9250560016620
"option1=""Colors"" (plural)","Aim Shorts | Stone Muave",GSO014-S,Colors,Size,draft,4,9250559590636
"option1=""Size"", option2 null","(GOJO) Jujutsu Kaisen Zipper",GHZ006-S,Size,,draft,4,8756565541100
"option1=""Size"", option2 null","(Washed) Black Hoodie",GH026-S,Size,,active,6,8707640033516
"option1=""Size"", option2 null","#55 Frost Hoodie",GH032-S,Size,,active,4,9104511238380
"option1=""Size"", option2 null","5 Way Stitch Hoodie",GH037-S,Size,,active,4,9123348644076
"option1=""Size"", option2 null","All Hustle No Luck",GH024-S,Size,,active,4,8757171159276
"option1=""Size"", option2 null","Baggy Trousers | Black",GST001-S,Size,,active,4,8995635364076
"option1=""Size"", option2 null","Baggy Trousers | Cream",GST002-S,Size,,active,4,8995640705260
"option1=""Size"", option2 null","Baggy Trousers | Mocha Brown",GST004-S,Size,,active,4,8995638116588
"option1=""Size"", option2 null","Baggy Trousers | Sage Green",GST003-S,Size,,active,4,8995642638572
"option1=""Size"", option2 null","Baggy Trousers | Slate Blue",GST005-S,Size,,active,4,8995644997868
"option1=""Size"", option2 null","Baggy Trousers | Steel Grey",GST032-S,Size,,active,4,9161676849388
"option1=""Size"", option2 null","Berserk",GSH002-S,Size,,active,4,8757176172780
"option1=""Size"", option2 null","Black | Essential Zipper",GHZ020-S,Size,,active,4,9122830221548
"option1=""Size"", option2 null","Black Cargo Trousers",,Size,,draft,4,8012553584876
"option1=""Size"", option2 null","Black Essential Trouser (Winter)",GST017-S,Size,,active,4,8757185642732
"option1=""Size"", option2 null","Black Trousers",,Size,,draft,4,7926193553644
"option1=""Size"", option2 null","Black VI Cargo",BLCKCARGO-01,Size,,draft,3,7586034057452
"option1=""Size"", option2 null","Blade Hoodie Foam",GH013-S,Size,,active,4,8757195374828
"option1=""Size"", option2 null","Camel Brown Hoodie",GH009-S,Size,,active,4,9046702850284
"option1=""Size"", option2 null","Carpenter Dark Grey Denim",,Size,,active,5,8665336807660
"option1=""Size"", option2 null","Carpenter Light Grey Denim",,Size,,active,5,8665337004268
"option1=""Size"", option2 null","Carpenter Washed Black Denim",,Size,,active,6,8894217650412
"option1=""Size"", option2 null","Charcoal Heather Grey Hoodie",GH041-S,Size,,active,4,9105538089196
"option1=""Size"", option2 null","Cinnamon Brown Trousers",,Size,,draft,4,7926205939948
"option1=""Size"", option2 null","CORE Denim | Black",GD001-26,Size,,active,7,8989890117868
"option1=""Size"", option2 null","CORE Denim | Dark Stone",GD014-26,Size,,active,7,9160027930860
"option1=""Size"", option2 null","CORE Denim | Stone Grey",GD002-26,Size,,draft,7,8989953949932
"option1=""Size"", option2 null","CORE Denim | Washed Black",GD003-28,Size,,active,7,8757181677804
"option1=""Size"", option2 null","CORE Denim | Washed Blue",,Size,,active,7,8757204254956
"option1=""Size"", option2 null","CORE Denim | White Stone",GD015-26,Size,,active,7,9160027865324
"option1=""Size"", option2 null","Cream Hoodie",GH007-S,Size,,active,4,8707636265196
"option1=""Size"", option2 null","Cream Washed Blank",GB021-S,Size,,active,4,8664075993324
"option1=""Size"", option2 null","Crimson Washed Blank",GB020-S,Size,,active,4,8664078680300
"option1=""Size"", option2 null","cross star denim blue",,Size,,active,7,8757243838700
"option1=""Size"", option2 null","Dark Green Hoodie",GH011-S,Size,,active,4,9044757709036
"option1=""Size"", option2 null","Dark Grey Hoodie",GH005-S,Size,,active,4,8707636363500
"option1=""Size"", option2 null","Dark Grey Washed Trouser",,Size,,draft,5,8012556533996
"option1=""Size"", option2 null","Dark Heather Grey | Essential Zipper",GHZ021-S,Size,,active,4,9122906669292
"option1=""Size"", option2 null","Deep Blue Cargo Trousers",GC011-S,Size,,active,4,8012554731756
"option1=""Size"", option2 null","Deep Blue Washed Blank",GB014-S,Size,,active,4,8664086741228
"option1=""Size"", option2 null","Dropout - Class of '25 Edition",GH014-S,Size,,draft,4,8757219524844
"option1=""Size"", option2 null","Eden Made",GH020-S,Size,,active,4,8757223162092
"option1=""Size"", option2 null","Emerald Green Washed Blank",GB019-S,Size,,active,4,8664083955948
"option1=""Size"", option2 null","Emerald Green Washed Zipper",GHZ003-S,Size,,draft,4,8757230829804
"option1=""Size"", option2 null","Ethereal Blue Washed Zipper",GHZ005-S,Size,,draft,4,8757214019820
"option1=""Size"", option2 null","Fade Washed Denim",,Size,,active,6,8989942677740
"option1=""Size"", option2 null","Fade Washed Hoodie",GH031-S,Size,,active,4,9122909913324
